Kategori,Marka,Model,Fiyat,Yorum_Sayisi,Link
Laptop,Lenovo,"Lenovo V15 G4 83A100A5TR i5-13420H 16 GB 512 GB SSD 15.6"" Dos FHD Dizüstü Bilgisayar",24179.07,26,https://www.n11.com/urun/lenovo-v15-g4-83a100a5tr-i5-13420h-16-gb-512-gb-ssd-156-dos-fhd-dizustu-bilgisayar-54631816
Laptop,Lenovo,"Lenovo LOQ 15ARP9 83JC00DYTR R5-7235HS 12 GB 512 GB SSD RTX3050 15.6"" Dos Dizüstü Bilgisayar",37999,2,https://www.n11.com/urun/lenovo-loq-15arp9-83jc00dytr-r5-7235hs-12-gb-512-gb-ssd-rtx3050-156-dos-dizustu-bilgisayar-69466321
Laptop,Lenovo,"Lenovo LOQ 15IAX9E 83LK008KTR i5-12450HX 16 GB 512 GB SSD RTX2050 15.6"" Dos Dizüstü Bilgisayar",29449.05,6,https://www.n11.com/urun/lenovo-loq-15iax9e-83lk008ktr-i5-12450hx-16-gb-512-gb-ssd-rtx2050-156-dos-dizustu-bilgisayar-78090920
Laptop,HP,"HP 250 G10 B2NC5ES i5-1334U 16 GB 512 GB SSD 15.6"" Free Dos FHD Dizüstü Bilgisayar",24545.66,31,https://www.n11.com/urun/hp-250-g10-b2nc5es-i5-1334u-16-gb-512-gb-ssd-156-free-dos-fhd-dizustu-bilgisayar-66414062
Laptop,Onda,"Onda Oliver Book N5030 8 GB 128 GB SSD 10.1"" W11P Tablet PC",4899,63,https://www.n11.com/urun/onda-oliver-book-n5030-8-gb-128-gb-ssd-101-w11p-tablet-pc-53116729
Laptop,Lenovo,"Lenovo Ideapad Slim 3 82XM00PWTX R5-5625U 16 GB 512 GB SSD 15.6"" Free Dos Dizüstü Bilgisayar",19039.37,3,https://www.n11.com/urun/lenovo-ideapad-slim-3-82xm00pwtx-r5-5625u-16-gb-512-gb-ssd-156-free-dos-dizustu-bilgisayar-86608531
Laptop,MSI,MSI VECTOR 16 HX AI A2XWIG-090XTR Ultra 9-275HX 16 GB 1 TB SSD 16 GB RTX5080 Dos Dizüstü Bilgisayar,123499,2,https://www.n11.com/urun/msi-vector-16-hx-ai-a2xwig-090xtr-ultra-9-275hx-16-gb-1-tb-ssd-16-gb-rtx5080-dos-dizustu-bilgisayar-73966281
Laptop,Dell,"Dell Vostro 3530 N3409PVNB3530U i5-1334U 8 GB 512 GB SSD 15.6"" Ubuntu Dizüstü Bilgisayar",20678.47,31,https://www.n11.com/urun/dell-vostro-3530-n3409pvnb3530u-i5-1334u-8-gb-512-gb-ssd-156-ubuntu-dizustu-bilgisayar-60768085
Laptop,Acer,"Acer Nitro V15 ANV15-51-57XV NH.QNBEY.004 i5-13420H 16 GB 512 GB SSD RTX4050 15.6"" Dos Dizüstü Bilgisayar",36499,34,https://www.n11.com/urun/acer-nitro-v15-anv15-51-57xv-nhqnbey004-i5-13420h-16-gb-512-gb-ssd-rtx4050-156-dos-dizustu-bilgisayar-54255313
Laptop,I-Life,"I-Life Zed Air CX7 NTBTILWSI7158512 i7-7Y75 8 GB 512 GB SSD W10H 15.6"" FHD Gümüş Dizüstü Bilgisayar",10040.33,6,https://www.n11.com/urun/i-life-zed-air-cx7-ntbtilwsi7158512-i7-7y75-8-gb-512-gb-ssd-w10h-156-fhd-gumus-dizustu-bilgisayar-1717874
Laptop,MSI,"MSI KATANA 17 HX B14WFK-252XTR i7-14650HX 32 GB 1 TB SSD 8 GB RTX5060 17.3"" Dos Dizüstü Bilgisayar",79497.72,2,https://www.n11.com/urun/msi-katana-17-hx-b14wfk-252xtr-i7-14650hx-32-gb-1-tb-ssd-8-gb-rtx5060-173-dos-dizustu-bilgisayar-108411403
Laptop,Lenovo,"Lenovo IdeaPad Slim 3 16IRH10 83K2001VTR i7-13620H 16 GB 1 TB SSD 16"" Dos Dizüstü Bilgisayar",34104.05,2,https://www.n11.com/urun/lenovo-ideapad-slim-3-16irh10-83k2001vtr-i7-13620h-16-gb-1-tb-ssd-16-dos-dizustu-bilgisayar-73183548
Laptop,Lenovo,"Lenovo V15 G4 IRU 83A100GPTR i7-1355U 16 GB 512 GB SSD 15.6"" Dos FHD Dizüstü Bilgisayar",29250.50,12,https://www.n11.com/urun/lenovo-v15-g4-iru-83a100gptr-i7-1355u-16-gb-512-gb-ssd-156-dos-fhd-dizustu-bilgisayar-52000287
Laptop,Lenovo,"Lenovo IdeaPad Slim 3 16IAH8 83ES0033TR i5-12450H 8 GB 512 GB SSD 16"" Free Dos WUXGA Dizüstü Bilgisayar",21260.86,18,https://www.n11.com/urun/lenovo-ideapad-slim-3-16iah8-83es0033tr-i5-12450h-8-gb-512-gb-ssd-16-free-dos-wuxga-dizustu-bilgisayar-60731885
Laptop,Dell,"Dell Vostro 3530 N1601PVNB3530U i7-1355U 8 GB 512 GB SSD 15.6"" Ubuntu FHD Dizüstü Bilgisayar",24104.89,5,https://www.n11.com/urun/dell-vostro-3530-n1601pvnb3530u-i7-1355u-8-gb-512-gb-ssd-156-ubuntu-fhd-dizustu-bilgisayar-50609457
Laptop,Lenovo,"Lenovo IdeaPad Slim 3 82XB009HTX N100 4 GB 128 GB SSD 15.6"" W11H Dizüstü Bilgisayar",9499,13,https://www.n11.com/urun/lenovo-ideapad-slim-3-82xb009htx-n100-4-gb-128-gb-ssd-156-w11h-dizustu-bilgisayar-64355435
Laptop,HP,"HP 255 G10 9G1G0ET R5-7530U 16 GB 512 GB SSD 15.6"" Free Dos Dizüstü Bilgisayar",20800,9,https://www.n11.com/urun/hp-255-g10-9g1g0et-r5-7530u-16-gb-512-gb-ssd-156-free-dos-dizustu-bilgisayar-65956728
Laptop,Lenovo,"Lenovo IdeaPad Slim 3 15IRH10 83K1004ETR i5-13420H 8 GB 512 GB SSD 15.3"" Dos Dizüstü Bilgisayar",20999,2,https://www.n11.com/urun/lenovo-ideapad-slim-3-15irh10-83k1004etr-i5-13420h-8-gb-512-gb-ssd-153-dos-dizustu-bilgisayar-77145648
Laptop,Dell,"Dell Vostro 3530 N1605PVNB3530U i7-1355U 16 GB 512 GB SSD 15.6"" Ubuntu Dizüstü Bilgisayar",27795,1,https://www.n11.com/urun/dell-vostro-3530-n1605pvnb3530u-i7-1355u-16-gb-512-gb-ssd-156-ubuntu-dizustu-bilgisayar-61751013
Laptop,HP,"HP 250 G10 B2PH1ES i7-1355U 16 GB 512 GB SSD 15.6"" FHD Free Dos Dizüstü Bilgisayar",27899.07,0,https://www.n11.com/urun/hp-250-g10-b2ph1es-i7-1355u-16-gb-512-gb-ssd-156-fhd-free-dos-dizustu-bilgisayar-89555997
Laptop,Dell,"Dell 15 DC15250-01 i3-100U 16 GB 512 GB M.2 SSD 15.6"" Ubuntu Dizüstü Bilgisayar",16699,1,https://www.n11.com/urun/dell-15-dc15250-01-i3-100u-16-gb-512-gb-m2-ssd-156-ubuntu-dizustu-bilgisayar-110164311
Laptop,Apple,"Apple MacBook Air MC7W4TU/A Apple M2 8C CPU 8C GPU 16 GB 256 GB SSD 13.6"" MacOS Dizüstü Bilgisayar",37829.03,12,https://www.n11.com/urun/apple-macbook-air-mc7w4tua-apple-m2-8c-cpu-8c-gpu-16-gb-256-gb-ssd-136-macos-dizustu-bilgisayar-62159945
Laptop,Apple,"Apple MacBook Air MW0W3TU/A M4 16 GB 256 GB SSD 13.6"" macOS Dizüstü Bilgisayar",48499.03,6,https://www.n11.com/urun/apple-macbook-air-mw0w3tua-m4-16-gb-256-gb-ssd-136-macos-dizustu-bilgisayar-75065214
Laptop,Onda,"Onda Oliver Book A1 N5030 8 GB 128 GB SSD 10.1"" W11P IPS Dokunmatik Tablet PC",4649,41,https://www.n11.com/urun/onda-oliver-book-a1-n5030-8-gb-128-gb-ssd-101-w11p-ips-dokunmatik-tablet-pc-54317571
Laptop,Lenovo,"Lenovo ThinkPad E14 Gen 6 21M70091TX U7-155H 16 GB 512 GB 14"" Dos Dizüstü Bilgisayar",42899.48,3,https://www.n11.com/urun/lenovo-thinkpad-e14-gen-6-21m70091tx-u7-155h-16-gb-512-gb-14-dos-dizustu-bilgisayar-70056681
Laptop,Lenovo,"Lenovo V15 G4 ABP 82YY0013TR R7-7730U 16 GB 512 GB SSD 15.6"" Dos Dizüstü Bilgisayar",23000,7,https://www.n11.com/urun/lenovo-v15-g4-abp-82yy0013tr-r7-7730u-16-gb-512-gb-ssd-156-dos-dizustu-bilgisayar-61173531
Laptop,Lenovo,"Lenovo ThinkBook 16 G6 IRL 21KH001ETR i5-1335U 16 GB 512 GB SSD 16"" Dos WUXGA Dizüstü Bilgisayar",27999,13,https://www.n11.com/urun/lenovo-thinkbook-16-g6-irl-21kh001etr-i5-1335u-16-gb-512-gb-ssd-16-dos-wuxga-dizustu-bilgisayar-47671316
Laptop,Asus,"Asus ZenBook 14 UX3405CA-PP485W Ultra 9 285H 32 GB 1 TB SSD 14"" W11H WQXGA OLED Dizüstü Bilgisayar",69509,1,https://www.n11.com/urun/asus-zenbook-14-ux3405ca-pp485w-ultra-9-285h-32-gb-1-tb-ssd-14-w11h-wqxga-oled-dizustu-bilgisayar-80374268
Laptop,Lenovo,"Lenovo V15 G4 83A100QMTR i7-13620H 16 GB 512 GB SSD 15.6"" Free Dos Dizüstü Bilgisayar",29736.53,0,https://www.n11.com/urun/lenovo-v15-g4-83a100qmtr-i7-13620h-16-gb-512-gb-ssd-156-free-dos-dizustu-bilgisayar-107202687
Laptop,Dell,"Dell 3530 N1601PVNB3530UA78 i7-1355U 16 GB 512 GB SSD 15.6"" Dos Dizüstü Bilgisayar",25764.02,1,https://www.n11.com/urun/dell-3530-n1601pvnb3530ua78-i7-1355u-16-gb-512-gb-ssd-156-dos-dizustu-bilgisayar-74589777
Laptop,Lenovo,"Lenovo LOQ 15IAX9 83GS00P6TR i5-12600HX 24 GB 512 GB SSD RTX4050 15.6"" Free Dos FHD Dizüstü Bilgisayar",39804.05,6,https://www.n11.com/urun/lenovo-loq-15iax9-83gs00p6tr-i5-12600hx-24-gb-512-gb-ssd-rtx4050-156-free-dos-fhd-dizustu-bilgisayar-76065614
Laptop,MSI,"MSI Katana 17 HX B14WGK-048XTR i9-14900HX 32 GB 1 TB SSD RTX5070 17.3"" Free Dos Dizüstü Bilgisayar",101519.06,1,https://www.n11.com/urun/msi-katana-17-hx-b14wgk-048xtr-i9-14900hx-32-gb-1-tb-ssd-rtx5070-173-free-dos-dizustu-bilgisayar-83606907
Laptop,MSI,"MSI Cyborg 15 A13VF-1204XTR i5-13420H 16 GB 1 TB SSD RTX4060 15.6"" Dos Dizüstü Bilgisayar",53034.17,22,https://www.n11.com/urun/msi-cyborg-15-a13vf-1204xtr-i5-13420h-16-gb-1-tb-ssd-rtx4060-156-dos-dizustu-bilgisayar-53499891
