Kategori,Marka,Model,Fiyat,Yorum_Sayisi,Link,Resim
Laptop,Lenovo,"Lenovo IdeaPad Slim 3 15IRH10 83K1004ETRA97 i5-13420H 16 GB 512 GB SSD 15.3"" Dos Dizüstü Bilgisayar",23132.74,1,https://www.n11.com/urun/lenovo-ideapad-slim-3-15irh10-83k1004etra97-i5-13420h-16-gb-512-gb-ssd-153-dos-dizustu-bilgisayar-109859229,https://via.placeholder.com/500?text=Resim+Yok
Laptop,Lenovo,"Lenovo LOQ 15IAX9 83GS00R4TR i5-12450HX 16 GB 1 TB SSD 6 GB RTX3050 15.6"" FHD Free Dos Dizüstü Bilgisayar",32999.0,3,https://www.n11.com/urun/lenovo-loq-15iax9-83gs00r4tr-i5-12450hx-16-gb-1-tb-ssd-6-gb-rtx3050-156-fhd-free-dos-dizustu-bilgisayar-99558981,https://via.placeholder.com/500?text=Resim+Yok
Laptop,Lenovo,"Lenovo LOQ 15IRX9 83DV0117TR i7-13650HX 8 GB 512 GB SSD RTX4050 15.6"" Dos Dizüstü Bilgisayar",45671.39,0,https://www.n11.com/urun/lenovo-loq-15irx9-83dv0117tr-i7-13650hx-8-gb-512-gb-ssd-rtx4050-156-dos-dizustu-bilgisayar-70006837,https://via.placeholder.com/500?text=Resim+Yok
Laptop,Lenovo,"Lenovo Ideapad Slim 3 82XM00PWTX R5-5625U 16 GB 512 GB SSD 15.6"" Free Dos Dizüstü Bilgisayar",19074.99,4,https://www.n11.com/urun/lenovo-ideapad-slim-3-82xm00pwtx-r5-5625u-16-gb-512-gb-ssd-156-free-dos-dizustu-bilgisayar-86608531,https://via.placeholder.com/500?text=Resim+Yok
Laptop,MSI,"MSI Cyborg 15 A13VE-1252XTR i5-13420H 16 GB 512 GB SSD RTX4050 15.6"" Dos FHD Dizüstü Bilgisayar",34997.05,10,https://www.n11.com/urun/msi-cyborg-15-a13ve-1252xtr-i5-13420h-16-gb-512-gb-ssd-rtx4050-156-dos-fhd-dizustu-bilgisayar-64894282,https://via.placeholder.com/500?text=Resim+Yok
Laptop,Lenovo,"Lenovo LOQ 15ARP9 83JC00DYTR R5-7235HS 12 GB 512 GB SSD RTX3050 15.6"" Dos Dizüstü Bilgisayar",31599.0,2,https://www.n11.com/urun/lenovo-loq-15arp9-83jc00dytr-r5-7235hs-12-gb-512-gb-ssd-rtx3050-156-dos-dizustu-bilgisayar-69466321,https://via.placeholder.com/500?text=Resim+Yok
Laptop,MSI,"MSI CYBORG 15 A13VE-1478XTR i5-13420H 16 GB 1 TB SSD 6 GB RTX4050 15.6"" Dos Dizüstü Bilgisayar",38852.78,15,https://www.n11.com/urun/msi-cyborg-15-a13ve-1478xtr-i5-13420h-16-gb-1-tb-ssd-6-gb-rtx4050-156-dos-dizustu-bilgisayar-59698891,https://via.placeholder.com/500?text=Resim+Yok
Laptop,MSI,"MSI Cyborg 15 A13VE-897XTR i7-13620H 16 GB 1 TB SSD 6 GB RTX4050 15.6"" Dos FHD Dizüstü Bilgisayar",54500.0,57,https://www.n11.com/urun/msi-cyborg-15-a13ve-897xtr-i7-13620h-16-gb-1-tb-ssd-6-gb-rtx4050-156-dos-fhd-dizustu-bilgisayar-49530284,https://via.placeholder.com/500?text=Resim+Yok
Laptop,Lenovo,"Lenovo IdeaPad Slim 3 14IRH10 83K0002ATR i7-13620H 16 GB 512 GB SSD 14"" Free Dos Dizüstü Bilgisayar",54236.0,5,https://www.n11.com/urun/lenovo-ideapad-slim-3-14irh10-83k0002atr-i7-13620h-16-gb-512-gb-ssd-14-free-dos-dizustu-bilgisayar-73603078,https://via.placeholder.com/500?text=Resim+Yok
Laptop,Lenovo,"Lenovo LOQ 15IAX9E 83LK008KTR i5-12450HX 16 GB 512 GB SSD RTX2050 15.6"" Dos Dizüstü Bilgisayar",29233.06,6,https://www.n11.com/urun/lenovo-loq-15iax9e-83lk008ktr-i5-12450hx-16-gb-512-gb-ssd-rtx2050-156-dos-dizustu-bilgisayar-78090920,https://via.placeholder.com/500?text=Resim+Yok
Laptop,Onda,"Onda Oliver Book N5030 8 GB 128 GB SSD 10.1"" W11P Tablet PC",4899.0,63,https://www.n11.com/urun/onda-oliver-book-n5030-8-gb-128-gb-ssd-101-w11p-tablet-pc-53116729,https://via.placeholder.com/500?text=Resim+Yok
Laptop,MSI,MSI VECTOR 16 HX AI A2XWIG-090XTR Ultra 9-275HX 16 GB 1 TB SSD 16 GB RTX5080 Dos Dizüstü Bilgisayar,119924.03,2,https://www.n11.com/urun/msi-vector-16-hx-ai-a2xwig-090xtr-ultra-9-275hx-16-gb-1-tb-ssd-16-gb-rtx5080-dos-dizustu-bilgisayar-73966281,https://via.placeholder.com/500?text=Resim+Yok
Laptop,Lenovo,"Lenovo V15 G4 IRU 83A100GPTR i7-1355U 16 GB 512 GB SSD 15.6"" Dos FHD Dizüstü Bilgisayar",49901.63,12,https://www.n11.com/urun/lenovo-v15-g4-iru-83a100gptr-i7-1355u-16-gb-512-gb-ssd-156-dos-fhd-dizustu-bilgisayar-52000287,https://via.placeholder.com/500?text=Resim+Yok
Laptop,I-Life,"I-Life Zed Air CX7 NTBTILWSI7158512 i7-7Y75 8 GB 512 GB SSD W10H 15.6"" FHD Gümüş Dizüstü Bilgisayar",10065.61,6,https://www.n11.com/urun/i-life-zed-air-cx7-ntbtilwsi7158512-i7-7y75-8-gb-512-gb-ssd-w10h-156-fhd-gumus-dizustu-bilgisayar-1717874,https://via.placeholder.com/500?text=Resim+Yok
Laptop,HP,"HP 255 G10 9G1G0ET R5-7530U 16 GB 512 GB SSD 15.6"" Free Dos Dizüstü Bilgisayar",20041.86,9,https://www.n11.com/urun/hp-255-g10-9g1g0et-r5-7530u-16-gb-512-gb-ssd-156-free-dos-dizustu-bilgisayar-65956728,https://via.placeholder.com/500?text=Resim+Yok
Laptop,Lenovo,"Lenovo IdeaPad Slim 3 16IRH10 83K2001VTR i7-13620H 16 GB 1 TB SSD 16"" Dos Dizüstü Bilgisayar",33304.05,2,https://www.n11.com/urun/lenovo-ideapad-slim-3-16irh10-83k2001vtr-i7-13620h-16-gb-1-tb-ssd-16-dos-dizustu-bilgisayar-73183548,https://via.placeholder.com/500?text=Resim+Yok
Laptop,Dell,"Dell Vostro 3530 N3409PVNB3530U i5-1334U 8 GB 512 GB SSD 15.6"" Ubuntu Dizüstü Bilgisayar",21501.06,31,https://www.n11.com/urun/dell-vostro-3530-n3409pvnb3530u-i5-1334u-8-gb-512-gb-ssd-156-ubuntu-dizustu-bilgisayar-60768085,https://via.placeholder.com/500?text=Resim+Yok
Laptop,MSI,"MSI KATANA 17 HX B14WFK-252XTR i7-14650HX 32 GB 1 TB SSD 8 GB RTX5060 17.3"" Dos Dizüstü Bilgisayar",79497.72,2,https://www.n11.com/urun/msi-katana-17-hx-b14wfk-252xtr-i7-14650hx-32-gb-1-tb-ssd-8-gb-rtx5060-173-dos-dizustu-bilgisayar-108411403,https://via.placeholder.com/500?text=Resim+Yok
Laptop,Lenovo,"Lenovo IdeaPad Slim 3 82XB009HTX N100 4 GB 128 GB SSD 15.6"" W11H Dizüstü Bilgisayar",9399.0,13,https://www.n11.com/urun/lenovo-ideapad-slim-3-82xb009htx-n100-4-gb-128-gb-ssd-156-w11h-dizustu-bilgisayar-64355435,https://via.placeholder.com/500?text=Resim+Yok
Laptop,Msı,"Msı Thin 15 B12UC-2636XTR i5-12450H 16 GB 512 GB SSD RTX3050 15.6"" Dos Dizüstü Bilgisayar",28499.05,3,https://www.n11.com/urun/msi-thin-15-b12uc-2636xtr-i5-12450h-16-gb-512-gb-ssd-rtx3050-156-dos-dizustu-bilgisayar-63005725,https://via.placeholder.com/500?text=Resim+Yok
Laptop,Lenovo,"Lenovo IdeaPad Slim 3 15IRH10 83K1004ETR i5-13420H 8 GB 512 GB SSD 15.3"" Dos Dizüstü Bilgisayar",20500.0,2,https://www.n11.com/urun/lenovo-ideapad-slim-3-15irh10-83k1004etr-i5-13420h-8-gb-512-gb-ssd-153-dos-dizustu-bilgisayar-77145648,https://via.placeholder.com/500?text=Resim+Yok
Laptop,Dell,"Dell Vostro 3530 N1605PVNB3530U i7-1355U 16 GB 512 GB SSD 15.6"" Ubuntu Dizüstü Bilgisayar",25499.0,1,https://www.n11.com/urun/dell-vostro-3530-n1605pvnb3530u-i7-1355u-16-gb-512-gb-ssd-156-ubuntu-dizustu-bilgisayar-61751013,https://via.placeholder.com/500?text=Resim+Yok
Laptop,MSI,"MSI THIN 15 B13UC-2868XTR i5-13420H 16 GB 512 GB SSD RTX3050 15.6"" Dos Dizüstü Bilgisayar",28960.0,2,https://www.n11.com/urun/msi-thin-15-b13uc-2868xtr-i5-13420h-16-gb-512-gb-ssd-rtx3050-156-dos-dizustu-bilgisayar-74907987,https://via.placeholder.com/500?text=Resim+Yok
Laptop,Dell,"Dell 3530 N1601PVNB3530UA78 i7-1355U 16 GB 512 GB SSD 15.6"" Dos Dizüstü Bilgisayar",25431.56,1,https://www.n11.com/urun/dell-3530-n1601pvnb3530ua78-i7-1355u-16-gb-512-gb-ssd-156-dos-dizustu-bilgisayar-74589777,https://via.placeholder.com/500?text=Resim+Yok
Laptop,HP,"HP 250 G10 B2PH1ES i7-1355U 16 GB 512 GB SSD 15.6"" FHD Free Dos Dizüstü Bilgisayar",27099.07,0,https://www.n11.com/urun/hp-250-g10-b2ph1es-i7-1355u-16-gb-512-gb-ssd-156-fhd-free-dos-dizustu-bilgisayar-89555997,https://via.placeholder.com/500?text=Resim+Yok
Laptop,Onda,"Onda Oliver Book A1 N5030 8 GB 128 GB SSD 10.1"" W11P IPS Dokunmatik Tablet PC",4649.0,41,https://www.n11.com/urun/onda-oliver-book-a1-n5030-8-gb-128-gb-ssd-101-w11p-ips-dokunmatik-tablet-pc-54317571,https://via.placeholder.com/500?text=Resim+Yok
Laptop,HP,"HP 250 G10 I5-1334U 16 GB 512 GB SSD 15.6"" Freedos B2NC4ES01",21826.05,6,https://www.n11.com/urun/hp-250-g10-i5-1334u-16-gb-512-gb-ssd-156-freedos-b2nc4es01-77051976,https://via.placeholder.com/500?text=Resim+Yok
Laptop,Lenovo,"Lenovo V15 G4 ABP 82YY0013TR R7-7730U 16 GB 512 GB SSD 15.6"" Dos Dizüstü Bilgisayar",22600.0,7,https://www.n11.com/urun/lenovo-v15-g4-abp-82yy0013tr-r7-7730u-16-gb-512-gb-ssd-156-dos-dizustu-bilgisayar-61173531,https://via.placeholder.com/500?text=Resim+Yok
Laptop,Lenovo,"Lenovo ThinkBook 16 G6 IRL 21KH001ETR i5-1335U 16 GB 512 GB SSD 16"" Dos WUXGA Dizüstü Bilgisayar",27999.0,13,https://www.n11.com/urun/lenovo-thinkbook-16-g6-irl-21kh001etr-i5-1335u-16-gb-512-gb-ssd-16-dos-wuxga-dizustu-bilgisayar-47671316,https://via.placeholder.com/500?text=Resim+Yok
Laptop,Dell,"Dell 15 DC15250-01 i3-100U 16 GB 512 GB M.2 SSD 15.6"" Ubuntu Dizüstü Bilgisayar",22600.0,1,https://www.n11.com/urun/dell-15-dc15250-01-i3-100u-16-gb-512-gb-m2-ssd-156-ubuntu-dizustu-bilgisayar-110164311,https://via.placeholder.com/500?text=Resim+Yok
Laptop,Apple,"Apple MacBook Air MC7W4TU/A Apple M2 8C CPU 8C GPU 16 GB 256 GB SSD 13.6"" MacOS Dizüstü Bilgisayar",37829.03,12,https://www.n11.com/urun/apple-macbook-air-mc7w4tua-apple-m2-8c-cpu-8c-gpu-16-gb-256-gb-ssd-136-macos-dizustu-bilgisayar-62159945,https://via.placeholder.com/500?text=Resim+Yok
Laptop,MSI,"MSI PULSE 17 AI C1VFKG-083XTR Ultra 7 155H 32 GB 1 TB SSD RTX4060 17"" Dos Dizüstü Bilgisayar",66894.06,0,https://www.n11.com/urun/msi-pulse-17-ai-c1vfkg-083xtr-ultra-7-155h-32-gb-1-tb-ssd-rtx4060-17-dos-dizustu-bilgisayar-74160958,https://via.placeholder.com/500?text=Resim+Yok
Laptop,Lenovo,"Lenovo Ideapad Slim 3 15IRH10 83K1003MTR i5-13420H 16 GB 512 GB SSD 15.3"" WUXGA Free Dos Dizüstü Bilgisayar",23385.2,0,https://www.n11.com/urun/lenovo-ideapad-slim-3-15irh10-83k1003mtr-i5-13420h-16-gb-512-gb-ssd-153-wuxga-free-dos-dizustu-bilgisayar-104468597,https://via.placeholder.com/500?text=Resim+Yok
